Sl.No,State_Name,Institution_Name,Institution_Type
6218,Maharashtra,MATOSHRI YAMUNABAI D. ED COLLEGE HIRVI LAY OUT NAGPUR (Id: S-9609),Teacher Training
6219,Maharashtra,MATRIX BUSINESS SCHOOL (Id: S-226),PGDM Institutes
6220,Maharashtra,MATSYODARI SHIKSHAN SANSTHAS COLLEGE OF EDUCATION JALNA (Id: S-9610),Teacher Training
6221,Maharashtra,MATUSHRI SHIKSHAN SEVA MANDAL MATUSHRI ADHYAPAK VIDYALAYA (D. ED. ) SHEGAON SHEGAON (Id: S-9611),Teacher Training
6222,Maharashtra,MAULANA ABUL KALAM AZAD EDUCATION AND WELFARE SOCIETY`S DHAD BULDANA (Id: S-10260),Teacher Training
6223,Maharashtra,MAULANA ABUL KALAM AZAD EDUCATION SOCIETY HAJI ABDUL SAMAD URDU D. ED. COLLEGE BULDHANA BULDHANA (Id: S-9612),Teacher Training
6224,Maharashtra,MAULANA AZAD ADHYAPAK VIDYALAYA LATUR LATUR (Id: S-9613),Teacher Training
6225,Maharashtra,MAULANA AZAD EDUCATION SOCIETY'S KAMLA NEHRU POLYTECHNIC(PHARMACY) AURANGABAD (Id: S-1951),Technical/Polytechnic
6226,Maharashtra,MAULANA AZAD EDUCATION SOCIETY'S KAMLA NEHRU POLYTECHNIC (PHARMACY)(PRIVATE) AURANGABAD (Id: S-1950),Technical/Polytechnic
6227,Maharashtra,MAULANA AZAD SHIKSHAN PRASARAK AND KRIDA MANDAL NER YAVATMAL (Id: S-9614),Teacher Training
6228,Maharashtra,MAULE KALA KRIDA SHAIKSHANIK SANSKRUTIK and KRUSHI VIKAS PRATISHTAN KHANDALA SATARA (Id: S-9616),Teacher Training
6229,Maharashtra,MAULI PRATHISTHAN LATE MARUTI BADHE ADHYAPAK VIDYALAYA HAVELI AURANGABAD (Id: S-9617),Teacher Training
6230,Maharashtra,MAULI SHIKHAN PRASARAK MANDAL'S LAL BAHADUR SHASTRI POLYTECHNIC UDGIR DIST LATUR (Id: S-1952),Technical/Polytechnic
6231,Maharashtra,MAVAL VIDYA PRATHISHTHAN AUNDHE KURD MAVAL PUNE (Id: S-9618),Teacher Training
6232,Maharashtra,MAYANI BHAG SHIKSHAN PRASARK MANDAL'S COLLEGE OF PHARMACY (D.PHARM.) MAYANI TAL-KHATAV DIST-SATARA. (Id: S-1953),Technical/Polytechnic
6233,Maharashtra,M. BASNHIR PATEL SHIKSHAN SANSTHA BHOJAPUR BHANDRA (Id: S-9544),Teacher Training
6234,Maharashtra,MEDICAL COLLEGE and HOSPITAL AURANGABAD (Id: S-4784),Nursing
6235,Maharashtra,"MEDICAL MISSION SECULAR INSTITUTE, NITYASEVA HOSPITAL NURSING SCHOOL SHEGAON, AHMADNAGAR (Id: S-12814)",Nursing
6236,Maharashtra,MEHMUDA SHIKSHAN and MAHILA GRAMIN GODHNI NAGPUR (Id: S-9619),Teacher Training
6237,Maharashtra,MELGHAT ADIWASI VIDYALAYA CHIKHALDARA AMRAVATI (Id: S-9620),Teacher Training
6238,Maharashtra,MERULING SHIKSHAN SANSTHA'S DIPLOMA IN PHARMACY MEDHASATARA (Id: S-1955),Technical/Polytechnic
6239,Maharashtra,MET'S INSTITUTE OF COMPUTER SCIENCE (Id: S-227),PGDM Institutes
6240,Maharashtra,MET`S INSTITUTE OF MEDICAL SCIENCES (Id: S-10398),Technical/Polytechnic
6241,Maharashtra,MET'S INSTITUTE OF TECHNOLOGY POLYTECHNIC BHUJBAL KNOWLEDGE CITY ADGAON NASHIK. (Id: S-1956),Technical/Polytechnic
6242,Maharashtra,MGM INSTIUTE OF MANAGEMENT STUDIES AND RESEARCH NAVI MUMBAI (Id: S-10414),Technical/Polytechnic
6243,Maharashtra,MGMS POLYTECHNIC AURANGABAD (Id: S-1957),Technical/Polytechnic
6244,Maharashtra,MGTS MANDAL'S SHARADCHANDRIKA SURESH PATIL INSTITUTE OF TECHNOLOGY(POLYTECHNIC) CHOPDA (Id: S-1958),Technical/Polytechnic
6245,Maharashtra,MHARASHTRA ACADEMY OF ENGINEERING AND EDUCATIONAL MIT D. ED COLLEGE KOTHRUD PUNE (Id: S-9621),Teacher Training
6246,Maharashtra,MHASWAD ADHAYAPAK VIDYALAYA MAN SATARA (Id: S-9622),Teacher Training
6247,Maharashtra,MHAVIDARBHA BHIKKU SANGH BHADRAWATIS TAKSHASHILA JUNIOR COLLEGE OF EDUCATION BHADRAWAT CHANDRAPUR (Id: S-9623),Teacher Training
6248,Maharashtra,MHILA VIKAS INSTITUTE OF ADVANCE TECHNOLOGY WARDHA (Id: S-10480),Technical/Polytechnic
6249,Maharashtra,M. H. SABOO SIDDIK POLYTECHNIC MUMBAI. (Id: S-1913),Technical/Polytechnic
6250,Maharashtra,MINORITY EDUCATIONAL SOCIETY YAVATMAL YAVATMAL (Id: S-9624),Teacher Training
6251,Maharashtra,"MITCON INSTITUTE OF MANAGEMENT, PUNE (Id: S-1959)",PGDM Institutes
6252,Maharashtra,MITRA SADHANA SHIKSHAN PRASARAK MANDAL RAJARSHI SAHU D. ED. COLLEGE PATHRI AURANGABAD (Id: S-9625),Teacher Training
6253,Maharashtra,MIT SCHOOL OF BUSINESS PUNE (Id: S-228),PGDM Institutes
6254,Maharashtra,MIT SCHOOL OF MANAGEMENT (Id: S-229),PGDM Institutes
6255,Maharashtra,MIT SCHOOL OF TELECOM MANAGEMENT (Id: S-230),PGDM Institutes
6256,Maharashtra,MITTHULALJI SARDA POLYTECHNIC (Id: S-1960),Technical/Polytechnic
6257,Maharashtra,MIYANSAHAB SHAIKSHANIK WA SEVABHAWI SANSTHA MAULANA ABUL KALAM AZAD D. ED. COLLEGE BORI LATUR (Id: S-9626),Teacher Training
6258,Maharashtra,M J B S SANSTHA CHATRAPATI SHIVAJI MAHARAJ INSTITUTE OF ADVANCE TECHNOLOGY GANCHANDUR (Id: S-10600),Technical/Polytechnic
6259,Maharashtra,M K S S S `S MANILAL NANAVATI VOCATIONAL TRAINING INSTITUTE FOR WOMEN PUNE (Id: S-10826),Technical/Polytechnic
6260,Maharashtra,MODEL ACTION FOR THE RURAL AND CHILD HELP(MARCH) NAWAPUR NANDURBAR (Id: S-9627),Teacher Training
6261,Maharashtra,MODEL COLLEGE OF EDUCATION JUBILEE PARK AURANGABAD (Id: S-9628),Teacher Training
6262,Maharashtra,MODERN EDUCATION SOCIETYCOLLEGE OF EDUCATION KHANAPUR KHANAPUR (Id: S-9629),Teacher Training
6263,Maharashtra,MODERN SHIKSHAN PRASARAK MANDAL D. ED. COLLEGE OPP. TARAPAN CENTRE AURANGABAD (Id: S-9630),Teacher Training
6264,Maharashtra,MODERN SHIKSHAN PRASARAK MANDALS SHEVGAON AHMEDNAGAR (Id: S-9631),Teacher Training
6265,Maharashtra,MOHAMMED KHALID JUNIOR COLLEGE OF EDUCATION TARAPUR THANE (Id: S-9632),Teacher Training
6266,Maharashtra,MOHANLALJI WALCHALE COLLEGE WASHIM (Id: S-10279),Technical/Polytechnic
6267,Maharashtra,"MOHD ALI JOHAR D Ed COLLEGE, JATWADA ROAD, AURANGABAD (Id: S-9615)",Teacher Training
6268,Maharashtra,MOKASHI KRISHI VIKAS PRASISTHAN'S DADASAHEB MOKASHI POLYTECHNIC SADASHIVGAD SATARA (Id: S-1961),Technical/Polytechnic
6269,Maharashtra,MORESHWAR SHIKSHAN PRASARAK MANDAL NEW COLLEGE OF D. ED. BHOKARDAN JALNA (Id: S-9633),Teacher Training
6270,Maharashtra,MOTHER INDIA ADHYAPAK VIDYALAYA BHAIRU NAGAR SOLAPUR (Id: S-9634),Teacher Training
6271,Maharashtra,MPES RADIO ELECTRIC INSTITUTE (Id: S-1962),Technical/Polytechnic
6272,Maharashtra,M.S. and M.G.V.B.S. CENTRAL INDIA INSTITUTE OF POLYTECHNIC NAGPUR (Id: S-1914),Technical/Polytechnic
6273,Maharashtra,M S and M G V B S`S CENTRAL INDIA COLLEGE OF TECHNICAL EDUCATION GONDHANI (Id: S-10565),Technical/Polytechnic
6274,Maharashtra,MSVM`S DIPLOMA IN DENTAL TECHNOLOGY COLLEGE NASHIK (Id: S-10782),Technical/Polytechnic
6275,Maharashtra,M.T.E. SOCIETY'S WALCHAND COLLEGE OF ENGINEERING (POLYTECHNIC WING) SANGLI (Id: S-1915),Technical/Polytechnic
6276,Maharashtra,MUCHHALA POLYTECHNIC (Id: S-1964),Technical/Polytechnic
6277,Maharashtra,MULA EDUCATION SOCEITYMULA RURAL INSTITUTE OF PHARMACYSONAI TAL. NEWASA DIST. AHMEDNAGAR (Id: S-1965),Technical/Polytechnic
6278,Maharashtra,MULA EDUCATION SOCIETY NEWASA (Id: S-9635),Teacher Training
6279,Maharashtra,MULA EDUCATION SOCIETY NEWASA AHMEDNAGAR (Id: S-9636),Teacher Training
6280,Maharashtra,MULA EDUCATION SOCIETYS SAHYADRI MARATHI MEDIUM D. ED. COLLEGE MULASHI PUNE (Id: S-9637),Teacher Training
6281,Maharashtra,MULI DNYANESHWAR EDUCATION SOCIETY NAGNAGH ADHYAPAK VIDYALAYA (D. ED) AUNDHA HINGOLI (Id: S-9638),Teacher Training
6282,Maharashtra,MULSHI INSTITUTE OF BUSINESS MANAGEMENT-POST GRADUATEDM (Id: S-232),PGDM Institutes
6283,Maharashtra,MULSHI INSTITUTE OF RETAIL MANAGEMENT (Id: S-233),PGDM Institutes
6284,Maharashtra,MULTI PURPOSE EDUCATION SOCIETY RADIO ELECTRIC INSTITUTE DOMBIVALI (Id: S-10436),Technical/Polytechnic
6285,Maharashtra,MUMBAI EDUCATION TRUST'S INSTITUTE OF PHARMACY MUMBAI (Id: S-1967),Technical/Polytechnic
6286,Maharashtra,MUMBRA SHIKSHAN PRASARAK MANDAL G R PATIL TECHNICAL INSTITUTE MUMBRA (Id: S-10435),Technical/Polytechnic
6287,Maharashtra,MUMBRA TEACHER TRAINING JR. COLLEGE OF EDUCATION MUMBRA (Id: S-9639),Teacher Training
6288,Maharashtra,MUNCIPAL URDU TEACHERS JR. COLLEGE OF EDUCATION MAHIM MUMBAI (Id: S-9640),Teacher Training
6289,Maharashtra,MURARI PISE ADHYAPAK VIDHYALAY RUN BY YOUNG ENGINEERS SOCIETY KURKHEDA GADCHIROLI (Id: S-9641),Teacher Training
6290,Maharashtra,MURE MEMORIAL HOSPITAL SCHOOL OF NURSING NAGPUR (Id: S-4785),Nursing
6291,Maharashtra,NAGAON EDUCATION SOCIETY GANGAMAI INSTITUTE OF EDUCATION SHINDAKHAEDA DHULE (Id: S-9643),Teacher Training
6292,Maharashtra,NAGAON EDUCATION SOCIETY'S GANGAMAI POLYTECHNIC NAGAON (Id: S-1969),Technical/Polytechnic
6293,Maharashtra,NAGAON EDUCATION SOC INSTITUTE OF PHARMACY NAGAON DHULE (Id: S-10767),Technical/Polytechnic
6294,Maharashtra,NAGAON EDUCATION SOC. INSTITUTE OF PHARMACY NAGAON DIST. DHULE. (Id: S-1968),Technical/Polytechnic
6295,Maharashtra,NAGAR PARISHAD POLYTECHNIC NAGAR PARISHAD ACHALPURAMRAVATI (Id: S-1970),Technical/Polytechnic
6296,Maharashtra,NAGAR YUVAK SHIKSHAN SANSTHA ADV V R MANOHAR INSTITUTE OF DIPLOMA IN MEDICAL LABORATORY TECHNOLOGY NILDOH (Id: S-10629),Technical/Polytechnic
6297,Maharashtra,NAGAR YUVAK SHIKSHAN SANSTHA ADV. V.R.MANOHAR INSTITUTE OF DIPLOMA IN PHARMACY NAGPUR (Id: S-1971),Technical/Polytechnic
6298,Maharashtra,NAGAR YUVAK SHIKSHAN SANSTHA'S SHREERAM POLYTECHNIC NEW MUMBAI (Id: S-1972),Technical/Polytechnic
6299,Maharashtra,NAGAR YUWAK SHIKSHAN SANSTHA'S SHRI DATTA MEGHE POLYTECHNIC NAGPUR. (Id: S-1973),Technical/Polytechnic
6300,Maharashtra,NAGNATH EDUCATION SOCIETY D. ED. COLLEGE HATKANANGLE KOLHAPUR (Id: S-9644),Teacher Training
6301,Maharashtra,NAGRIK JR. COLLEGE OF EDUCATION MAHAL NAGPUR (Id: S-9645),Teacher Training
6302,Maharashtra,NAGRIK SHIKSHAN SANSTHA D. ED COLLEGE MUMBAI MUMBAI (Id: S-9646),Teacher Training
6303,Maharashtra,NAGRIK SHIKSHAN SANSTHA.S COLLEGE OF PHARMACY (Id: S-10384),Technical/Polytechnic
6304,Maharashtra,NAMDAR DR RAJENDRA SHINGNE TECHNOLOGY EDUCATION INSTITUTE ISRUL CHIKHLI (Id: S-10304),Technical/Polytechnic
6305,Maharashtra,NAMDEOJAGTAPADHYAPAK VIDYALAYA KARMALA SOLAPUR (Id: S-9647),Teacher Training
6306,Maharashtra,NANASAHEB MAHADIK POLYTECHNIC INSTITUTE (Id: S-1974),Technical/Polytechnic
6307,Maharashtra,NANASAHEB NIMBHORMAR D. ED COLLEGE MARATHA SHIKSHAN SANSTHA ASHTI WARDHA (Id: S-9648),Teacher Training
6308,Maharashtra,NANDED PHARMACY COLLEGE (POLY) (Id: S-1975),Technical/Polytechnic
6309,Maharashtra,NANDKUMAR SHINDE ADHYAPAK VIDYALAYA (D. ED) VAIJAPUR AURANGABAD (Id: S-9649),Teacher Training
6310,Maharashtra,NANDURBAR TALUKA VIDHAYAK SANSTHA'S INSTITUTE OF PHARMACYNANDURBAR (Id: S-1977),Technical/Polytechnic
6311,Maharashtra,NARAYANRAO GAVHANKAR D. ED. COLLEGE NIMKARDA AKOLA (Id: S-9650),Teacher Training
6312,Maharashtra,NARENDRA BEROJGAR BAHUDESHIYA SEVA SAHAKARI SANSTHA SHRI SANT GAJANAN MAHARAJ INSTITUTE OF TECHNICAL EDUCATION (Id: S-10723),Technical/Polytechnic
6313,Maharashtra,NARENDRARAO AASHTANKAR`S COLLEGE OF TECHNICAL EDUCATION DEVALI WARDHA (Id: S-10578),Technical/Polytechnic
6314,Maharashtra,NAS COLLEGE OF EDUCATION (DEEP EDUCATION SOCIETY) PALGHAR THANE (Id: S-9651),Teacher Training
6315,Maharashtra,NASHIK DISTRICT MARATHA VIDYA PRASARAK SAMAJ'S INSTITUTE OF PHARMACEUTICAL SCIENCES ADGAON NASHIK (Id: S-1978),Technical/Polytechnic
6316,Maharashtra,NASHIK GRAMIN SHIKSHAN PRASARAK MANDALS BRAHMA VALLEY POLYTECHNIC NASHIK (Id: S-1979),Technical/Polytechnic
6317,Maharashtra,NASHIK INSTITUTE OF TECHNOLOGY LATE ANNASAHEB PATIL POLYTECHNIC DINDORI ROAD CANNOL ROAD MERI NASHIK (Id: S-1980),Technical/Polytechnic
6318,Maharashtra,NASIK DISTRICT MARATHA VIDYA PRASARAK DINDORI NASIK (Id: S-9652),Teacher Training
6319,Maharashtra,NASIK MEDICO TRAINING PVT LTD NASIK (Id: S-4788),Nursing
6320,Maharashtra,NATH NANGEBABA MALTI PURPOSE MANDAL'S POLYTECHNIC PAROLA DIST-JALGAON (Id: S-1981),Technical/Polytechnic
6321,Maharashtra,NATIONAL CENTRE FOR RURAL DEVELOPMENT'S INSTITUTE OF PHARMACY NERUL NAVI MUMBAI (Id: S-1982),Technical/Polytechnic
6322,Maharashtra,NATIONAL INSITUTE OF DIPLOMA IN FIRE SERVICE ENGINEERING THANA TAL BHANDARA (Id: S-10521),Technical/Polytechnic
6323,Maharashtra,NATIONAL INSTITUTE OF DESASTER and ENVIRONMENT MANAGEMENT NAGPUR (Id: S-10468),Technical/Polytechnic
6324,Maharashtra,"NATIONAL INSTITUTE OF INDUSTRIAL ENGINEERING, MUMBAI (Id: S-8931)",Technical/Polytechnic
6325,Maharashtra,"NATIONAL INSTITUTE OF NATUROPATHY, PUNE (Id: S-8932)",Institutes under Ministries
6326,Maharashtra,"NATIONAL JR. COLLEGE OF EDUCATION, THANE (Id: S-12042)",Teacher Training
6327,Maharashtra,NATIONAL SAFETY ORGANISATION PUNE (Id: S-10822),Technical/Polytechnic
6328,Maharashtra,NATIONAL URDU ADHYAPAK VIDYALAYA (URDU) AGRA ROAD KALYAN (Id: S-9653),Teacher Training
6329,Maharashtra,NATIONAL URDU D. ED. COLLEGE SILLOD AURANGABAD (Id: S-9654),Teacher Training
6330,Maharashtra,NATIONAL URDU GIRLS D. ED. COLLEGE NEAR POWER HOUSE JALNA (Id: S-9655),Teacher Training
6331,Maharashtra,NATIONAL WOMENS WELFARE SOCIETY DARWHA YAVATMAL (Id: S-9656),Teacher Training
6332,Maharashtra,NAVADURGA SHIKSHAN SANSTHA`S RASHTRASANT TUKDOJI MAHARAJ INSTITUTE OF TECHNICAL EDUCATION CHANDRAPUR (Id: S-10754),Technical/Polytechnic
6333,Maharashtra,NAVAL BHAU PRATISHTHANS AMALNER JALGAON (Id: S-9658),Teacher Training
6334,Maharashtra,NAVBHARAT SHIKSHAN MANDALS SHANTINIKETAN POLYTECHNIC SANGLI (Id: S-1984),Technical/Polytechnic
6335,Maharashtra,NAVDURGA SHIKSHAN SANSTHA`S RAJSHREE SHAHU MAHARAJ COLLEGE OF TECHNOCRAFT SAMUDRAPUR (Id: S-10581),Technical/Polytechnic
6336,Maharashtra,NAVGAN SHIKSHAN SANSTHA`S P V P COLLEGE OF PHARMACY PATODA BEED (Id: S-10350),Technical/Polytechnic
6337,Maharashtra,NAVINBHAI SHAH PRATHISTAN SANGAMNER AHMEDNAGAR (Id: S-9660),Teacher Training
6338,Maharashtra,NAVIN OSMANABAD ZILLA BALVIKAS SAMITEE BANK COLONY OSMANABAD (Id: S-9659),Teacher Training
6339,Maharashtra,NAVINRMAN PRATISHTHAN LATE KAKA SAHEAB RAMRAO VISHNU PATIL SAKRI DHULE (Id: S-9661),Teacher Training
6340,Maharashtra,NAVJEEVAN ADHYAPAK VIDYALAYA BEED BYE-PASS AURANGABAD (Id: S-9662),Teacher Training
6341,Maharashtra,NAVJEEVAN EDUCATION SOCIETY BHANDUP MUMBAI (Id: S-9664),Teacher Training
6342,Maharashtra,NAVJEEVAN EDUCATION SOCIETY'S POLYTECHNIC MUMBAI (Id: S-1985),Technical/Polytechnic
6343,Maharashtra,NAVJEEVAN EDU. SOCIETYS COLLEGE OF EDU. and RESEARCH KARJAT RAIGAD (Id: S-9663),Teacher Training
6344,Maharashtra,NAVJEEVAN SHIKSHAN and BAHUDESHIYA SHIKSHAN SANSTHA`S SEAVRTHA TECHNICAL INSTITUTE SAMUDRAPUR (Id: S-10724),Technical/Polytechnic
6345,Maharashtra,NAVJEEVAN SHIKSHAN SANSTHA GURUKUL ADHYAPAK VIDYALYA HAVELI PUNE (Id: S-9665),Teacher Training
6346,Maharashtra,NAVMAHARAHSTRA SHIKSHAN MANDAL`S ABASAHEB KAKADE PHARMACY COLLEGE BODHEGAON AHMEDNAGAR (Id: S-10768),Technical/Polytechnic
6347,Maharashtra,NAVNATH BAHUUDESHIYA SHIKSHAN SANSTHA J. M. NIMBALKAR D. ED. COLLEGE MANEWADA NAGPUR (Id: S-9666),Teacher Training
6348,Maharashtra,NAVNEET BAHUDDESHIYA SANSTHAS KINKAR COLLEGE OF EDUCATION SELOO WARDHA (Id: S-9667),Teacher Training
6349,Maharashtra,NAVNEET BAHUUDDESHYA SANSTHA KINKAR INSTITUTE OF TECHNOLOGYSELOODIST.WARDHA (Id: S-1986),Technical/Polytechnic
6350,Maharashtra,NAVODAYA SHIKSHAN SANSTHA'S SHANKARRAO DHAWAD POLYTECHNIC NAGPUR (Id: S-1987),Technical/Polytechnic
6351,Maharashtra,NAV PRATIBHA D. ED. COLLEGE NAGPUR AURVDIK COLLEGE AYODHYA NAGAR NAGPUR (Id: S-9657),Teacher Training
6352,Maharashtra,NAVSAHAYADRI CHARITABLE TRUST D. ED. COLLEGE KHED PUNE (Id: S-9668),Teacher Training
6353,Maharashtra,NAVSAHYADRI EDUCATION SOCIETYNAVSAHYADRI INSTITUTE OF TECHNOLOGY GAT. MOUJE NAIGAON TAL-BHORPUNE (Id: S-1988),Technical/Polytechnic
6354,Maharashtra,NAVSANJIVAN SHIKSHAN MANDAL`S COLLEGE OF PHARMACY DHARWA (Id: S-10266),Technical/Polytechnic
6355,Maharashtra,NAVSANJIVAN SHIKSHAN PRASARAK MANDAL DARWHA YAVATMAL (Id: S-9669),Teacher Training
6356,Maharashtra,NAV VIDYA NIKETAN SHIKSHA SANTHA NAV VIDYA NIKETAN INSTITUTE OF TECHNOLOGYMARDI ROAD AMRAVATI (Id: S-1983),Technical/Polytechnic
6357,Maharashtra,NAVYUG VIDYAPEETH TRUST'S INSTITUTE OF PHARMACYMAHAD RAIGAD (Id: S-1989),Technical/Polytechnic
6358,Maharashtra,NAVYUVAK SAMAJIK SANSTHA KOLBA SWAMI COLLEGE OF TECH EDUCATION DHAPEWADA (Id: S-10619),Technical/Polytechnic
6359,Maharashtra,NAVYUVAK SHIKSHAN PRASARAK MANDAL RAWANKOLAS BHOSLE COLLEGE OF EDUCATION MUKHED NANDED (Id: S-9670),Teacher Training
6360,Maharashtra,N A W P H TECHNICAL INSTITUTE MARDI ROAD AMRAVATI (Id: S-10277),Technical/Polytechnic
6361,Maharashtra,N B B S S S LTD INSTITUTE OF TECHNICAL EDUCATION BY LOGICSOFT COMPUTER EDUCATION WARDHA (Id: S-10479),Technical/Polytechnic
6362,Maharashtra,NBSS`S PRADEEP COLLEGE OF ADVANCE TECHNOLOGY BULDHANA (Id: S-10278),Technical/Polytechnic
6363,Maharashtra,N. D. M. V. P. SAMAJS COLLEGE OF EDUCATION SATANA NASIK (Id: S-9642),Teacher Training
6364,Maharashtra,N D M V P SAMAJ'S TRAINING SCHOOL OF NURSING NASHIK (Id: S-4786),Nursing
6365,Maharashtra,NDMVPS SAMAJ'S RAJARSHEE SHAHU MAHARAJ POLYTECHNIC NASHIK (Id: S-1990),Technical/Polytechnic
6366,Maharashtra,NEHA WOMENS TECHNICAL and BEAUTY CULTURE EDUCATION SOCIETY NEHA WOMENS TECHNICAL INSTITUTE (Id: S-10648),Technical/Polytechnic
6367,Maharashtra,NEHA WOMEN`S TECHNICAL and BEAUTY CULTURE SOCIETY`S SIDHIVINAYAK WOMENS TECHNICAL COLLEGE YAVATMAL (Id: S-10328),Technical/Polytechnic
6368,Maharashtra,NETAJI SHIKSHAN PRASARAK MANDAL SHANKARRAO SOPANRAO TALEKAR ADHYAPAK VIDHYALAYA AMBAVANE PUNE (Id: S-10256),Teacher Training
6369,Maharashtra,NEW AZEEM URDU D. ED. COLLEGE URDU EDUCATION SOCIETYS QUAISER COLONY AURANGABAD (Id: S-9671),Teacher Training
6370,Maharashtra,NEW EDUCATION SOCIETY`S G S KANTE MAHILA TANTRANIKETAN SANGLI (Id: S-10869),Technical/Polytechnic
6371,Maharashtra,NEW ENGLISH SCHOOL ASSOCIATION`S NEW ENGLISH INSTITUTE OF TECHNOLOGY NAGPUR (Id: S-10672),Technical/Polytechnic
6372,Maharashtra,NEW JAI BHARAT SHIKSHAN PRASARAK MANDAL�S SHANTINIKETAN POLYTECHNIC NEW PANVEL. (Id: S-1991),Technical/Polytechnic
6373,Maharashtra,NEW KALAMBOLI EDUCATION SOCIETY PANVEL RAIGAD (Id: S-9672),Teacher Training
6374,Maharashtra,NEW KALBHAIRI SHIKSHAN PRASARAK MANDAL S N COLLLEGE OF DIPLOMA COURSES GADHINGAJ KOLHAPUR (Id: S-10857),Technical/Polytechnic
6375,Maharashtra,NEW SATARA SHIKSHAN SANKUL NEW SATARA COLLEGE OF ENGINEERING and MANAGEMENT PANDHARPUR (Id: S-10870),Technical/Polytechnic
6376,Maharashtra,N G NARALKAR`S INSTITUTE OF CAREER DEVELOPMENT and RESEARCH PUNE (Id: S-10821),Technical/Polytechnic
6377,Maharashtra,NICHAY BAHU GRAMIN VIKAS SANSTHA`S TULARAM TALEMALE INSTITUTE OF TECHNOLOGY KAKAWADI WARDHA (Id: S-10504),Technical/Polytechnic
6378,Maharashtra,NINAIDEVI SHIKSHAN PRASARAK MANDAL SHIVKJIRAO DESHMUKH SHIRALA SANGLI (Id: S-9673),Teacher Training
6379,Maharashtra,NINAIDEVI SHIKSHAN PRASARAK MANDALSHRI. SHIVAJIRAO DESHMUKH INSTITUTE OF TECHNOLOGY SHIRALA SANGLI (Id: S-1992),Technical/Polytechnic
6380,Maharashtra,NIRANJAN KRIDA and SANSKRUTIK EDUCATION PRATISHTHAN`S NIRANJAN COLLEGE OF MANAGEMENT TUKUM CHANDRAPUR (Id: S-10659),Technical/Polytechnic
6381,Maharashtra,NIRMALA D. ED COLLEGE NIRMALA BAHUUDDESHIYA EDUCATION PAUNI BHANDARA (Id: S-9674),Teacher Training
6382,Maharashtra,NIRMALA MATA ADHAYAPAK VIDYALAYA PANDHARPUR SOLAPUR (Id: S-9675),Teacher Training
6383,Maharashtra,NIRMALA NIKETAN POLYTECHNIC MUMBAI (Id: S-10409),Technical/Polytechnic
6384,Maharashtra,NIRMALATAI ADHYAPAK VIDYALAYA PACHORA JALGAON (Id: S-9676),Teacher Training
6385,Maharashtra,NIRMAL VIDYA INSTITUTE OF ADVANCE TECHNOLOGY DIGHORI (Id: S-10567),Technical/Polytechnic
6386,Maharashtra,NISCHAY BAHU GRAMIN VIKAS SANSTHA`S TALMALE INSTITUTE OF ADVANCE TECHNOLOGY HINGANGHAT WARDHA (Id: S-10501),Technical/Polytechnic
6387,Maharashtra,NISCHAY BAHUUDDESHIYA GRAMIN VIKAS SANSTHA KAKAWADI SEVAGRAM ROAD WARDHA (Id: S-9677),Teacher Training
6388,Maharashtra,NIT POLYTECHNIC (Id: S-1993),Technical/Polytechnic
6389,Maharashtra,N K and S P TRUST INSTITUTE OF PARA-MEDICAL SCIENCE and FOOD PROCESSING TECHNOLOGY COLLEGE BADANAPUR (Id: S-10368),Technical/Polytechnic
6390,Maharashtra,N.L.DALMIA INSTITUTE OF MANAGEMENT STUDIES and RESEARCH (Id: S-234),PGDM Institutes
6391,Maharashtra,N M WADIA HOSPITAL PUNE (Id: S-4787),Nursing
6392,Maharashtra,NOBLE D. ED. COLLEGE HABEEBIYA EDUCATION and WELFARE AURANGABAD AURANGABAD (Id: S-9678),Teacher Training
6393,Maharashtra,NOBLE SHIKSHAN SANSTHA`S RAJIV COLLEGE OF TECHNOLOGY WARDHA (Id: S-10512),Technical/Polytechnic
6394,Maharashtra,NOOR EDUCATION SOCIETY JUNIOR COLLEGE OF EDUCATION AKALKCT SOLAPUR (Id: S-9679),Teacher Training
6395,Maharashtra,NOVEL INSTITUTE OF BUSINESS MANAGEMENT and RESEARCH PRADHIKARAN PUNE (Id: S-9680),Teacher Training
6396,Maharashtra,N R K EDUCATIONAL CHARITABLE TRUST`S INSTITUTI CALLEGARI MUMBAI (Id: S-10437),Technical/Polytechnic
6397,Maharashtra,N S B MEMORIAL TRUST`S NETAJI SUBHASH INSTITUTE KURLA MUMBAI (Id: S-10395),Technical/Polytechnic
6398,Maharashtra,N S B S `S SWARAJ INSTITUTE OF TECHNOLOGY and MANAGEMENT SCIENCE VARUD AMRAVATI (Id: S-10276),Technical/Polytechnic
6399,Maharashtra,N S V S `S RAMESHRAO BHONGE COLLEGE OF TECHNICAL EDUCATION SEWAGRAM (Id: S-10584),Technical/Polytechnic
6400,Maharashtra,"NURSING SCHOOL GENERAL HOSPITAL, CHANDRAPUR (Id: S-12824)",Nursing
6401,Maharashtra,NUTAN MAHARASHTRA VIDYA POLYTECHNICPUNE (Id: S-1995),Technical/Polytechnic
6402,Maharashtra,NUTAN MARATHA VIDYALAYA JALGAON JALGAON (Id: S-9681),Teacher Training
6403,Maharashtra,NUTAN VIDYA SAMITI SITARAMJI MUNDADA MARATHWADA POLYTECHNIC PARBHANI (Id: S-1996),Technical/Polytechnic
