Sl.No,State_Name,Institution_Name,Institution_Type
8220,Rajasthan,AMBASSY SCHOOL OF NURSING JAIPUR (Id: S-5052),Nursing
8221,Rajasthan,AMBIKA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA JHUNJHUNU (Id: S-7520),Teacher Training
8222,Rajasthan,ANNAPURNA MEDICAL TRAINING INSTITUTE SIKAR (Id: S-5053),Nursing
8223,Rajasthan,ANUPAMA MEDICAL TRAINING INSTITUTE SIKAR (Id: S-5054),Nursing
8224,Rajasthan,APEX BUSINESS SCHOOL (Id: S-295),PGDM Institutes
8225,Rajasthan,APEX INSTITUTE OF DIPLOMA ENGINEERING MAHUA (DAUSA) (Id: S-2538),Technical/Polytechnic
8226,Rajasthan,"APEX POLYTECHNIC INSTITUTE, JAIPUR (Id: S-317)",Technical/Polytechnic
8227,Rajasthan,"APOLLO POLYTECHNIC COLLEGE, JAIPUR (Id: S-2539)",Technical/Polytechnic
8228,Rajasthan,ARAVALI INSTITUTE OF NURSING UDAIPUR (Id: S-5055),Nursing
8229,Rajasthan,"ARAVALI TEACHERS TRAINING COLLEGE NEEM KA THANA, JUNJHUNU (Id: S-12863)",Teacher Training
8230,Rajasthan,"ARAWALI COLLEGE OF TECHNOLOGY NEEM KA THANA, SIKAR (Id: S-12212)",Technical/Polytechnic
8231,Rajasthan,ARAWALI POLYTECHNIC COLLEGE NEEM KA THANA (SIKAR) (Id: S-2540),Technical/Polytechnic
8232,Rajasthan,ARIHANT GENERAL NURSING SCHOOL KOTA (Id: S-5056),Nursing
8233,Rajasthan,ARIHANT NURSING INSTITUTE UDAIPUR (Id: S-5057),Nursing
8234,Rajasthan,ARJUN RAM SHEKSHAN PRASHIKSHAN VIDYALAYA SIKAR (Id: S-7521),Teacher Training
8235,Rajasthan,"ART POLYTECHNIC COLLEGE, AJMER (Id: S-2656)",Technical/Polytechnic
8236,Rajasthan,ARUNIMA NURSING INSTITUTE BUNDI (Id: S-5058),Nursing
8237,Rajasthan,"ARYAN POLYTECHNIC COLLEGE, AJMER (Id: S-2542)",Technical/Polytechnic
8238,Rajasthan,ARYA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA JAIPUR (Id: S-7522),Teacher Training
